224  60
1.0000000000  0.0000000000  0.0000000000
2.0000000000  0.0000000000  0.0000000000
0.0000000000  1.0000000000  0.0000000000
0.0000000000  2.0000000000  0.0000000000
0.0000000000  0.0000000000  1.0000000000
0.0000000000  0.0000000000  2.0000000000
0.7071067812  0.7071067812  0.0000000000
1.4142135624  1.4142135624  0.0000000000
0.0000000000  0.7071067812  0.7071067812
0.0000000000  1.4142135624  1.4142135624
0.7071067812  0.0000000000  0.7071067812
1.4142135624  0.0000000000  1.4142135624
0.5773502692  0.5773502692  0.5773502692
1.1547005384  1.1547005384  1.1547005384
1.5000000000  0.0000000000  0.0000000000
1.2500000000  0.0000000000  0.0000000000
1.7500000000  0.0000000000  0.0000000000
0.0000000000  1.5000000000  0.0000000000
0.0000000000  1.2500000000  0.0000000000
0.0000000000  1.7500000000  0.0000000000
0.0000000000  0.0000000000  1.5000000000
0.0000000000  0.0000000000  1.2500000000
0.0000000000  0.0000000000  1.7500000000
1.0606601718  1.0606601718  0.0000000000
0.8838834765  0.8838834765  0.0000000000
1.2374368671  1.2374368671  0.0000000000
0.0000000000  1.0606601718  1.0606601718
0.0000000000  0.8838834765  0.8838834765
0.0000000000  1.2374368671  1.2374368671
1.0606601718  0.0000000000  1.0606601718
0.8838834765  0.0000000000  0.8838834765
1.2374368671  0.0000000000  1.2374368671
0.9238795325  0.0000000000  0.3826834324
0.9807852804  0.0000000000  0.1950903220
0.8314696123  0.0000000000  0.5555702330
0.3826834324  0.0000000000  0.9238795325
0.5555702330  0.0000000000  0.8314696123
0.1950903220  0.0000000000  0.9807852804
0.0000000000  0.3826834324  0.9238795325
0.0000000000  0.1950903220  0.9807852804
0.0000000000  0.5555702330  0.8314696123
0.0000000000  0.9238795325  0.3826834324
0.0000000000  0.8314696123  0.5555702330
0.0000000000  0.9807852804  0.1950903220
0.3826834324  0.9238795325  0.0000000000
0.1950903220  0.9807852804  0.0000000000
0.5555702330  0.8314696123  0.0000000000
0.9238795325  0.3826834324  0.0000000000
0.8314696123  0.5555702330  0.0000000000
0.9807852804  0.1950903220  0.0000000000
1.8477590650  0.0000000000  0.7653668647
1.9615705608  0.0000000000  0.3901806440
1.6629392246  0.0000000000  1.1111404660
0.7653668647  0.0000000000  1.8477590650
1.1111404660  0.0000000000  1.6629392246
0.3901806440  0.0000000000  1.9615705608
0.0000000000  0.7653668647  1.8477590650
0.0000000000  0.3901806440  1.9615705608
0.0000000000  1.1111404660  1.6629392246
0.0000000000  1.8477590650  0.7653668647
0.0000000000  1.6629392246  1.1111404660
0.0000000000  1.9615705608  0.3901806440
0.7653668647  1.8477590650  0.0000000000
0.3901806440  1.9615705608  0.0000000000
1.1111404660  1.6629392246  0.0000000000
1.8477590650  0.7653668647  0.0000000000
1.6629392246  1.1111404660  0.0000000000
1.9615705608  0.3901806440  0.0000000000
0.6738873387  0.3029054465  0.6738873387
0.6987525696  0.1532634760  0.6987525696
0.6330986360  0.4453899799  0.6330986360
0.6738873387  0.6738873387  0.3029054465
0.6330986360  0.6330986360  0.4453899799
0.6987525696  0.6987525696  0.1532634760
0.3029054465  0.6738873387  0.6738873387
0.4453899799  0.6330986360  0.6330986360
0.1532634760  0.6987525696  0.6987525696
1.3477746774  0.6058108931  1.3477746774
1.3975051391  0.3065269519  1.3975051391
1.2661972720  0.8907799597  1.2661972720
1.3477746774  1.3477746774  0.6058108931
1.2661972720  1.2661972720  0.8907799597
1.3975051391  1.3975051391  0.3065269519
0.6058108931  1.3477746774  1.3477746774
0.8907799597  1.2661972720  1.2661972720
0.3065269519  1.3975051391  1.3975051391
0.8660254038  0.8660254038  0.8660254038
0.7216878365  0.7216878365  0.7216878365
1.0103629711  1.0103629711  1.0103629711
0.0000000000  1.3858192988  0.5740251485
0.0000000000  1.6167891819  0.6696960066
0.0000000000  1.2232397353  0.8173426602
0.0000000000  1.4430894799  0.9642415631
0.0000000000  1.1548494156  0.4783542905
0.0000000000  1.0273546738  0.6864564466
0.0000000000  1.4429096494  0.2870125743
0.0000000000  1.7022401051  0.3385966092
0.0000000000  1.2118474649  0.2410514481
0.0000000000  0.5740251485  1.3858192988
0.0000000000  0.6696960066  1.6167891819
0.0000000000  0.2870125743  1.4429096494
0.0000000000  0.3385966092  1.7022401051
0.0000000000  0.4783542905  1.1548494156
0.0000000000  0.2410514481  1.2118474649
0.0000000000  0.8173426602  1.2232397353
0.0000000000  0.9642415631  1.4430894799
0.0000000000  0.6864564466  1.0273546738
0.5740251485  1.3858192988  0.0000000000
0.2870125743  1.4429096494  0.0000000000
0.4783542905  1.1548494156  0.0000000000
0.2410514481  1.2118474649  0.0000000000
0.8173426602  1.2232397353  0.0000000000
0.6864564466  1.0273546738  0.0000000000
0.6696960066  1.6167891819  0.0000000000
0.3385966092  1.7022401051  0.0000000000
0.9642415631  1.4430894799  0.0000000000
1.3858192988  0.5740251485  0.0000000000
1.2232397353  0.8173426602  0.0000000000
1.1548494156  0.4783542905  0.0000000000
1.0273546738  0.6864564466  0.0000000000
1.4429096494  0.2870125743  0.0000000000
1.2118474649  0.2410514481  0.0000000000
1.6167891819  0.6696960066  0.0000000000
1.4430894799  0.9642415631  0.0000000000
1.7022401051  0.3385966092  0.0000000000
0.5740251485  0.0000000000  1.3858192988
0.2870125743  0.0000000000  1.4429096494
0.4783542905  0.0000000000  1.1548494156
0.2410514481  0.0000000000  1.2118474649
0.8173426602  0.0000000000  1.2232397353
0.6864564466  0.0000000000  1.0273546738
0.6696960066  0.0000000000  1.6167891819
0.3385966092  0.0000000000  1.7022401051
0.9642415631  0.0000000000  1.4430894799
1.3858192988  0.0000000000  0.5740251485
1.2232397353  0.0000000000  0.8173426602
1.1548494156  0.0000000000  0.4783542905
1.0273546738  0.0000000000  0.6864564466
1.4429096494  0.0000000000  0.2870125743
1.2118474649  0.0000000000  0.2410514481
1.6167891819  0.0000000000  0.6696960066
1.4430894799  0.0000000000  0.9642415631
1.7022401051  0.0000000000  0.3385966092
1.0108310080  0.4543581698  1.0108310080
1.1793028427  0.5300845314  1.1793028427
1.0357455899  0.2271790849  1.0357455899
1.2166253645  0.2668530184  1.2166253645
0.8423591733  0.3786318082  0.8423591733
0.8672490797  0.1902212804  0.8672490797
0.9384282059  0.6601917868  0.9384282059
1.1023127390  0.7754858732  1.1023127390
0.7857634210  0.5527908833  0.7857634210
1.0108310080  1.0108310080  0.4543581698
0.9384282059  0.9384282059  0.6601917868
0.8423591733  0.8423591733  0.3786318082
0.7857634210  0.7857634210  0.5527908833
1.0357455899  1.0357455899  0.2271790849
0.8672490797  0.8672490797  0.1902212804
1.1793028427  1.1793028427  0.5300845314
1.1023127390  1.1023127390  0.7754858732
1.2166253645  1.2166253645  0.2668530184
0.4543581698  1.0108310080  1.0108310080
0.5300845314  1.1793028427  1.1793028427
0.6601917868  0.9384282059  0.9384282059
0.7754858732  1.1023127390  1.1023127390
0.3786318082  0.8423591733  0.8423591733
0.5527908833  0.7857634210  0.7857634210
0.2271790849  1.0357455899  1.0357455899
0.2668530184  1.2166253645  1.2166253645
0.1902212804  0.8672490797  0.8672490797
0.3623551701  0.3623551701  0.8587184995
0.3383786632  0.5270751730  0.7795457923
0.5281533975  0.3370117509  0.7794081527
0.4937213288  0.4924885791  0.7167246674
0.3790625647  0.1842504507  0.9068425130
0.5497977426  0.1708327571  0.8176421047
0.1843387392  0.3790156968  0.9068441602
0.1715440691  0.5492770073  0.8178431400
